date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:12:06	238/238	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2022%20Jul%202025%2017:11:44%20GMT	https://cimb.35-area.biz.id/robots.txt		(from )
01:12:07	13410/13410	---MCZ	200	added ('OK')	text/html	date:Fri,%2018%20Jul%202025%2009:47:21%20GMT	https://cimb.35-area.biz.id/form-tarif-cimb/	C:/My%20Web%20Sites/CIMB/cimb.35-area.biz.id/form-tarif-cimb/index.html	(from )
01:12:07	3739/3739	---MCZ	200	added ('OK')	text/html	date:Thu,%2017%20Jul%202025%2019:09:42%20GMT	https://cimb.35-area.biz.id/form-tarif-cimb/img/BRImo.html	C:/My%20Web%20Sites/CIMB/cimb.35-area.biz.id/form-tarif-cimb/img/BRImo.html	(from https://cimb.35-area.biz.id/form-tarif-cimb/)
01:12:08	46520/46520	---M--	200	added ('OK')	image/jpeg	date:Tue,%2011%20Jun%202019%2010:04:34%20GMT	https://www.itworks.id/wp-content/uploads/2019/06/Logo-Bank-CIMB-Niaga.jpg	C:/My%20Web%20Sites/CIMB/www.itworks.id/wp-content/uploads/2019/06/Logo-Bank-CIMB-Niaga.jpg	(from https://cimb.35-area.biz.id/form-tarif-cimb/)
01:12:09	340/340	---MCZ	200	added ('OK')	text/javascript	date:Wed,%2030%20Apr%202025%2004:16:16%20GMT	https://cimb.35-area.biz.id/unpkg.com/ionicons%407.1.0/dist/ionicons/ionicons.esm.js	C:/My%20Web%20Sites/CIMB/cimb.35-area.biz.id/unpkg.com/ionicons@7.1.0/dist/ionicons/ionicons.esm.js	(from https://cimb.35-area.biz.id/form-tarif-cimb/)
01:12:09	2555/2555	---MCZ	200	added ('OK')	image/svg+xml	date:Thu,%2017%20Jul%202025%2016:41:34%20GMT	https://cimb.35-area.biz.id/form-tarif-cimb/img/logo.svg	C:/My%20Web%20Sites/CIMB/cimb.35-area.biz.id/form-tarif-cimb/img/logo.svg	(from https://cimb.35-area.biz.id/form-tarif-cimb/)
01:12:10	1438350/1438350	---M--	200	added ('OK')	image/gif	date:Sun,%2006%20Jul%202025%2014:15:14%20GMT	https://cimb.35-area.biz.id/form-tarif-cimb/img/octo_loading.gif	C:/My%20Web%20Sites/CIMB/cimb.35-area.biz.id/form-tarif-cimb/img/octo_loading.gif	(from https://cimb.35-area.biz.id/form-tarif-cimb/)
01:12:10	89501/89501	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2018%20Oct%201991%2023:00:00%20GMT	https://cimb.35-area.biz.id/code.jquery.com/jquery-3.6.0.min.js	C:/My%20Web%20Sites/CIMB/cimb.35-area.biz.id/code.jquery.com/jquery-3.6.0.min.js	(from https://cimb.35-area.biz.id/form-tarif-cimb/)
01:12:10	5133/5133	---MCZ	200	added ('OK')	text/javascript	date:Sat,%2019%20Jul%202025%2008:39:21%20GMT	https://cimb.35-area.biz.id/form-tarif-cimb/data.js	C:/My%20Web%20Sites/CIMB/cimb.35-area.biz.id/form-tarif-cimb/data.js	(from https://cimb.35-area.biz.id/form-tarif-cimb/)
01:12:27	15605132/15605132	---M--	200	added ('OK')	image/gif	date:Thu,%2017%20Jul%202025%2019:13:14%20GMT	https://cimb.35-area.biz.id/blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEj3DuIIP1gMTVTYHpECa3zfsl-06lgxzpalxHBWwa1/s720/1000110835.gif	C:/My%20Web%20Sites/CIMB/cimb.35-area.biz.id/blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEj3DuIIP1gMTVTYHpECa3zfsl-06lgxzpalxHBWwa1/s720/1000110835.gif	(from https://cimb.35-area.biz.id/form-tarif-cimb/)
